time,xy
2019/3/1 7:00,"[0,0,0]"
2019/3/1 7:01,"[0,0,0]"
2019/3/1 7:02,"[9,9,1],[9,10,1],[9,11,1],[9,12,1],[10,13,1],[10,14,1],[11,14,1],"
2019/3/1 7:03,"[10,6,1],[9,7,1],[10,7,1],[9,8,1],[10,13,1],[10,14,1],[11,14,1],"
2019/3/1 7:04,"[10,6,1],[9,7,1],[10,7,1],[9,8,1],[8,9,1],[9,10,1],[9,11,1],[9,12,2],[10,13,1],[10,14,1],[11,14,1],"
2019/3/1 7:05,"[11,6,1],[9,7,1],[10,7,1],[9,8,1],[9,9,1],[9,10,1],[9,11,2],[9,12,1],[10,12,1],[9,13,1],[10,13,1],[10,14,2],[11,14,2],"
2019/3/1 7:06,"[10,6,1],[11,6,1],[9,7,2],[10,7,2],[9,8,2],[9,9,2],[9,10,2],[9,11,1],[11,14,1],"
2019/3/1 7:07,"[9,7,1],[10,7,1],[8,8,1],[7,9,1],[8,10,1],[9,11,1],[8,12,1],[9,13,1],[10,14,1],"
2019/3/1 7:08,"[10,6,1],[11,14,1],"
2019/3/1 7:09,"[9,8,1],[9,9,2],[9,10,2],[9,11,2],[9,12,1],[10,12,1],[10,13,2],[10,14,2],[11,14,1],"
2019/3/1 7:10,"[9,7,2],[10,7,2],[11,7,2],[9,8,1],"
2019/3/1 7:11,"[10,14,1],[11,14,1],"
2019/3/1 7:12,"[9,7,1],[10,7,1],[9,8,1],[9,9,1],[9,10,1],[9,11,1],[9,12,2],[9,13,2],[10,14,1],[11,14,1],"
2019/3/1 7:13,"[10,6,1],[9,7,1],[10,7,1],[11,7,1],[9,8,1],[9,9,3],[9,10,3],[9,11,3],[9,12,2],[9,13,1],[10,13,1],[10,14,2],[11,14,2],"
2019/3/1 7:14,"[10,6,1],[9,7,2],[10,7,2],[11,7,1],[9,8,2],[9,12,1],[9,13,1],[9,14,1],[10,14,1],[11,14,1],"
2019/3/1 7:15,"[9,7,1],[10,7,1],[11,7,1],[8,8,1],[9,9,1],[9,10,1],[9,11,1],[11,14,1],"
2019/3/1 7:16,"[9,7,1],[10,7,1],[8,8,1],[9,9,1],[9,10,1],[9,11,2],[9,12,2],[9,13,1],[10,13,1],[10,14,3],[11,14,3],"
2019/3/1 7:17,"[10,6,1],[11,6,1],[9,7,3],[10,7,3],[11,7,1],[9,8,3],[9,9,3],[9,10,3],[9,11,2],[9,12,2],[9,13,1],[10,13,1],[10,14,1],"
2019/3/1 7:18,"[11,7,1],"
2019/3/1 7:19,"[9,12,1],[9,13,1],[10,14,1],[11,14,2],"
2019/3/1 7:20,"[10,6,1],[9,7,1],[10,7,1],[9,8,2],[9,9,2],[9,10,2],[9,11,2],[10,12,1],[11,13,1],[10,14,1],"
2019/3/1 7:21,"[11,6,1],[9,7,1],[10,7,1],[9,14,1],[10,14,1],[11,14,1],"
2019/3/1 7:22,"[9,7,1],[10,7,1],[9,8,1],[9,9,1],[8,10,1],[9,11,1],[9,12,1],[9,13,1],[11,14,1],"
2019/3/1 7:23,"[9,7,1],[9,8,1],[9,9,1],[9,10,1],[9,11,1],[9,12,1],[10,12,1],[10,13,2],[10,14,2],[11,14,1],"
2019/3/1 7:24,"[10,6,1],[11,6,1],[9,7,1],[10,7,2],[9,8,1],[9,9,1],[9,10,1],[9,11,2],[9,12,1],[10,12,1],[10,13,1],[10,14,1],[11,14,2],"
2019/3/1 7:25,"[9,7,2],[10,7,2],[9,8,2],[9,9,3],[9,10,3],[9,11,3],[9,12,3],[9,13,1],[10,13,2],[10,14,3],[11,14,2],"
2019/3/1 7:26,"[10,6,1],[9,7,2],[10,7,2],[11,7,1],[9,8,2],[9,9,1],[9,10,1],"
2019/3/1 7:27,"[11,14,1],"
2019/3/1 7:28,"[9,7,1],[10,7,1],[8,8,1],[9,9,3],[9,10,3],[9,11,3],[9,12,3],[9,13,3],[10,14,3],[11,14,2],"
2019/3/1 7:29,"[10,6,1],[11,6,1],[9,7,6],[10,7,10],[8,8,1],[9,8,3],[8,9,1],[9,10,1],[9,11,1],"
2019/3/1 7:30,"[9,7,22],[10,7,15],[8,8,1],[9,8,19],[8,9,3],[9,9,15],[8,10,1],[9,10,14],[8,11,1],[9,11,13],[8,12,2],[9,12,7],[10,12,5],[9,13,3],[10,13,7],[10,14,5],[11,14,6],"
2019/3/1 7:31,"[11,6,1],[9,7,4],[10,7,2],[8,8,1],[9,8,7],[9,9,14],[8,10,2],[9,10,13],[8,11,4],[9,11,13],[8,12,5],[9,12,10],[10,12,7],[8,13,2],[9,13,10],[10,13,12],[11,13,1],[9,14,4],[10,14,25],[11,14,23],"
2019/3/1 7:32,"[10,6,2],[11,6,2],[9,7,5],[10,7,5],[9,8,6],[9,9,4],[9,10,4],[9,11,2],[9,12,1],[10,12,1],[9,13,1],[10,13,2],[10,14,4],[11,14,5],"
2019/3/1 7:33,"[11,6,1],[9,7,2],[10,7,3],[11,7,1],[9,9,1],[9,10,2],[9,11,3],[9,12,2],[10,12,1],[9,13,3],[10,13,2],[9,14,2],[10,14,5],[11,14,6],"
2019/3/1 7:34,"[9,7,7],[10,7,4],[11,7,1],[9,8,8],[9,9,8],[9,10,6],[8,11,1],[9,11,5],[9,12,5],[9,13,1],[10,13,3],[9,14,1],[10,14,3],[11,14,2],"
2019/3/1 7:35,"[11,6,1],[9,7,2],[10,7,3],[11,7,1],[9,8,3],[8,9,1],[9,9,3],[8,10,1],[9,10,4],[8,11,1],[9,11,4],[9,12,2],[10,12,3],[9,13,1],[10,13,4],[11,13,1],[10,14,4],[11,14,4],"
2019/3/1 7:36,"[10,6,1],[11,6,1],[9,7,4],[10,7,4],[9,8,3],[9,12,1],[10,13,1],[10,14,2],[11,14,3],"
2019/3/1 7:37,"[9,8,1],[9,9,3],[8,10,1],[9,10,2],[8,11,1],[9,11,2],[8,12,1],[9,12,1],[10,12,2],[9,13,1],[10,13,2],[10,14,3],[11,14,2],"
2019/3/1 7:38,"[10,6,1],[9,7,1],[10,7,1],[9,8,1],[9,9,1],[9,10,1],[9,11,1],[9,12,1],[10,13,1],[10,14,1],[11,14,1],"
2019/3/1 7:39,"[10,6,1],[9,7,2],[10,7,2],[8,8,1],[8,9,1],[7,10,1],[7,11,1],[8,12,1],[8,13,1],"
2019/3/1 7:40,"[9,14,1],[10,14,1],[11,14,1],"
2019/3/1 7:41,"[0,0,0]"
2019/3/1 7:42,"[0,0,0]"
2019/3/1 7:43,"[11,14,1],"
2019/3/1 7:44,"[9,7,1],[9,8,1],[9,9,1],[9,10,1],[9,11,1],[9,12,1],[9,13,1],[10,14,1],"
2019/3/1 7:45,"[11,6,1],[10,7,1],[9,10,1],[9,11,1],[10,12,1],[10,13,1],[10,14,1],[11,14,1],"
2019/3/1 7:46,"[11,6,1],[9,7,1],[10,7,1],[9,8,1],[9,9,1],"
2019/3/1 7:47,"[0,0,0]"
2019/3/1 7:48,"[0,0,0]"
2019/3/1 7:49,"[10,7,2],[11,7,1],"
2019/3/1 7:50,"[9,7,5],[10,7,4],[11,7,1],[8,8,1],[9,8,3],[8,9,1],[9,9,4],[9,10,4],[9,11,3],[10,12,3],[10,13,3],[10,14,2],"
