id,xy
10000,"[2,15,11,'08:52:10'],[4,13,293,'08:52:46'],[20,5,1897,'09:14:22'],[20,10,2496,'09:49:13'],[21,14,694,'10:32:05'],[20,6,1523,'11:11:26'],[21,9,2228,'11:38:41'],[3,20,905,'12:22:24'],[8,11,364,'12:44:45'],[6,2,400,'12:53:39'],[8,7,485,'13:01:14'],[27,14,261,'13:12:38'],[18,4,2142,'13:21:47'],[5,5,5220,'14:09:19'],[3,31,2869,'15:42:20'],[10,6,1164,'16:40:55'],[7,9,265,'17:01:24'],[10,5,224,'17:06:25'],[6,7,215,'17:10:34'],[17,15,0,'17:15:43'],"
10002,"[0,13,8,'08:44:30'],[5,13,349,'08:45:50'],[9,22,293,'08:55:56'],[25,8,1862,'09:13:47'],[23,7,2046,'09:54:43'],[23,14,509,'10:35:40'],[20,7,2387,'10:52:22'],[26,10,1925,'11:41:24'],[4,23,523,'12:18:36'],[5,30,3059,'12:31:10'],[9,10,494,'13:29:45'],[7,10,242,'13:38:07'],[16,9,959,'13:44:30'],[4,6,5191,'14:05:58'],[4,3,2095,'15:35:04'],[15,6,882,'16:15:17'],[11,7,1136,'16:37:23'],[8,5,291,'16:57:28'],[3,30,237,'17:06:22'],[17,15,0,'17:14:00'],"
10003,"[0,13,9,'08:54:50'],[4,13,296,'08:56:03'],[20,9,2104,'09:12:15'],[26,8,2531,'09:50:38'],[28,14,304,'10:39:35'],[20,8,1836,'11:07:03'],[24,10,2325,'11:39:54'],[2,22,1026,'12:29:03'],[10,4,341,'12:50:38'],[7,4,343,'12:56:46'],[9,9,332,'13:03:27'],[5,30,4861,'13:10:48'],[11,20,292,'14:33:17'],[5,7,4292,'14:41:07'],[11,4,233,'15:54:56'],[2,29,1294,'16:09:05'],[5,30,242,'16:33:23'],[10,6,996,'16:47:13'],[17,15,0,'17:11:03'],"
10004,"[0,13,10,'09:03:00'],[3,13,213,'09:03:36'],[21,6,1412,'09:19:17'],[24,5,1805,'09:57:34'],[16,11,719,'10:38:40'],[21,6,2258,'10:54:11'],[23,9,2028,'11:39:51'],[2,23,733,'12:19:16'],[0,29,4873,'12:35:06'],[2,7,5779,'14:07:20'],[5,29,2342,'15:51:37'],[10,6,720,'16:41:09'],[6,10,568,'16:54:41'],[5,15,0,'17:15:30'],"
10005,"[2,15,8,'17:27:10'],[2,13,294,'17:27:25'],[2,18,2233,'17:35:36'],[15,15,0,'18:16:00'],"
10012,"[0,13,9,'08:36:20'],[3,13,244,'08:36:45'],[16,11,1001,'08:42:58'],[21,10,2293,'09:09:16'],[22,10,2670,'09:47:29'],[28,15,238,'10:36:21'],[16,11,251,'10:46:58'],[23,7,2452,'10:56:57'],[21,7,2372,'11:38:07'],[5,24,4789,'12:30:20'],[28,14,524,'13:53:55'],[2,7,4176,'14:09:53'],[4,3,2297,'15:30:02'],[9,5,678,'16:09:21'],[9,3,275,'16:20:54'],[5,30,221,'16:31:23'],[5,30,247,'16:35:28'],[10,9,1551,'16:44:48'],[5,15,0,'17:11:41'],"
10014,"[2,15,12,'08:41:50'],[3,13,397,'08:42:12'],[10,4,268,'08:51:41'],[20,8,1902,'09:10:57'],[25,7,2375,'09:52:24'],[22,15,502,'10:37:27'],[26,5,1649,'11:10:40'],[20,5,2338,'11:39:31'],[3,20,1023,'12:36:36'],[10,20,415,'12:54:34'],[3,31,2780,'13:03:59'],[5,9,6618,'14:04:11'],[6,2,601,'15:56:18'],[10,4,426,'16:06:53'],[8,4,205,'16:14:14'],[5,29,377,'16:24:02'],[5,9,2738,'16:36:01'],[10,4,238,'17:23:31'],[15,15,0,'17:32:52'],"
10015,"[2,15,10,'08:40:00'],[5,13,315,'08:40:44'],[7,13,831,'08:46:08'],[21,7,2666,'09:03:53'],[21,9,2653,'09:48:56'],[9,10,238,'10:40:51'],[8,9,330,'10:44:49'],[21,10,2610,'10:54:39'],[20,6,2240,'11:40:49'],[4,23,600,'12:34:29'],[7,24,1851,'12:57:48'],[15,9,1717,'13:31:12'],[3,5,5842,'14:04:37'],[2,2,1586,'15:48:03'],[9,8,306,'16:19:13'],[5,7,2419,'16:39:30'],[15,15,0,'17:26:40'],"
10018,"[0,13,9,'08:30:20'],[6,26,1430,'08:36:09'],[24,8,2144,'09:08:35'],[21,5,2216,'09:53:23'],[23,14,563,'10:34:26'],[25,9,2248,'10:57:51'],[24,9,2162,'11:40:27'],[3,20,620,'12:26:39'],[11,21,429,'12:39:10'],[3,30,4058,'12:49:01'],[8,7,746,'14:04:13'],[3,4,5215,'14:18:54'],[11,5,404,'15:49:15'],[6,7,289,'15:57:30'],[0,30,1410,'16:07:09'],[5,30,246,'16:35:30'],[10,7,921,'16:44:58'],[2,31,301,'17:05:08'],[15,15,0,'17:14:16'],"
10019,"[7,15,9,'08:48:50'],[11,11,595,'08:50:04'],[26,4,2278,'09:05:11'],[9,4,922,'09:48:17'],[11,11,1564,'10:04:35'],[21,15,620,'10:33:49'],[11,11,4236,'10:50:23'],[3,25,1253,'12:04:46'],[10,21,277,'12:27:12'],[26,13,1771,'12:35:48'],[18,10,2538,'13:06:41'],[10,10,4159,'13:51:20'],[10,6,670,'15:01:49'],[4,3,2691,'15:21:48'],[7,5,575,'16:07:34'],[11,10,516,'16:21:53'],[11,9,1364,'16:33:25'],[11,11,1988,'16:57:21'],[4,18,2314,'17:35:55'],[2,24,2003,'18:15:26'],[19,0,0,'18:51:26'],"
