id,xy
10001,"[2,15,8,'14:03:00'],[3,13,243,'14:03:16'],[5,8,6361,'14:08:48'],[9,7,857,'15:55:32'],[10,4,287,'16:10:32'],[8,3,608,'16:15:31'],[3,9,2692,'16:37:07'],[17,15,0,'17:24:55'],"
10003,"[2,15,8,'09:04:00'],[4,13,305,'09:04:24'],[22,10,1952,'09:12:17'],[11,20,135,'09:49:14'],[26,7,2075,'09:56:54'],[15,11,820,'10:36:59'],[17,11,77,'10:51:02'],[24,9,5070,'10:55:19'],[28,15,143,'12:21:06'],[5,15,0,'12:26:42'],"
10012,"[0,13,9,'08:23:50'],[5,13,213,'08:24:36'],[26,8,1886,'08:32:13'],[20,10,2474,'09:06:55'],[21,8,2608,'09:49:11'],[28,14,283,'10:37:36'],[22,13,68,'10:45:18'],[21,12,67,'10:57:43'],[26,7,4462,'11:00:57'],[15,15,0,'12:18:51'],"
10014,"[4,15,8,'08:02:10'],[3,13,404,'08:02:25'],[11,4,257,'08:11:12'],[17,7,670,'08:18:59'],[23,9,1523,'08:35:16'],[21,6,2465,'09:01:54'],[28,14,302,'09:47:47'],[22,9,2046,'09:54:23'],[22,14,70,'10:36:43'],[22,15,466,'10:37:53'],[28,15,161,'10:48:38'],[21,5,4284,'10:53:15'],[4,25,343,'12:10:06'],[5,15,0,'12:18:50'],"
10015,"[2,15,8,'08:17:30'],[3,13,362,'08:17:47'],[7,18,147,'08:27:02'],[21,9,1349,'08:35:40'],[24,9,2595,'09:02:44'],[20,5,2663,'09:48:16'],[27,13,91,'10:39:06'],[27,15,130,'10:41:19'],[22,13,94,'10:46:25'],[10,5,133,'10:52:16'],[20,12,93,'11:00:27'],[21,12,124,'11:02:00'],[22,5,4375,'11:08:24'],[21,10,69,'12:23:31'],[2,24,635,'12:33:34'],[11,21,121,'12:45:38'],[3,31,4445,'12:49:54'],[2,9,5803,'14:07:26'],[10,5,92,'15:46:17'],[8,7,684,'15:48:15'],[11,21,189,'16:02:50'],[3,30,451,'16:07:58'],[10,9,233,'16:21:46'],[10,7,106,'16:26:39'],[6,2,85,'16:29:44'],[5,8,2812,'16:32:17'],[10,5,61,'17:19:38'],[15,15,0,'17:22:35'],"
10018,"[0,13,9,'10:32:30'],[3,13,204,'10:32:55'],[19,14,89,'10:38:40'],[18,9,582,'10:40:57'],[17,11,73,'10:51:00'],[21,6,4555,'10:55:44'],[5,15,0,'12:23:21'],"
10019,"[7,15,8,'08:23:50'],[10,11,340,'08:24:29'],[21,4,1676,'08:34:13'],[20,4,2360,'09:02:09'],[10,21,109,'09:43:50'],[20,4,2431,'09:48:08'],[10,5,150,'10:30:19'],[22,14,71,'10:37:13'],[23,14,485,'10:38:24'],[22,13,121,'10:47:22'],[21,12,90,'10:59:31'],[26,4,3705,'11:04:14'],[2,25,1427,'12:11:02'],[6,2,382,'12:45:57'],[7,6,827,'12:52:42'],[10,11,3174,'13:07:05'],[4,2,3384,'14:02:25'],[11,5,206,'14:59:53'],[11,7,427,'15:05:42'],[10,10,92,'15:13:37'],[5,3,3439,'15:16:30'],[11,6,497,'16:19:32'],[10,9,157,'16:28:49'],[9,9,91,'16:31:26'],[1,2,3043,'16:39:06'],[19,0,0,'17:31:46'],"
10021,"[2,15,8,'08:23:50'],[2,13,233,'08:24:06'],[17,11,66,'08:31:35'],[25,9,1601,'08:36:58'],[25,7,2620,'09:04:09'],[20,6,2594,'09:49:35'],[10,21,83,'10:39:56'],[5,30,464,'10:42:45'],[24,8,4852,'10:56:27'],[5,15,0,'12:21:52'],"
10022,"[2,15,9,'08:17:30'],[2,13,341,'08:17:48'],[11,4,120,'08:25:59'],[8,12,1644,'08:29:25'],[26,7,2355,'09:06:54'],[26,10,2702,'09:46:37'],[10,20,266,'10:37:23'],[4,30,459,'10:43:20'],[21,12,73,'10:58:18'],[21,10,4675,'10:59:54'],[15,15,0,'12:19:16'],"
10023,"[0,13,8,'14:01:10'],[4,13,248,'14:01:41'],[3,6,6446,'14:08:53'],[10,4,176,'15:57:53'],[9,7,447,'16:01:32'],[3,31,227,'16:12:02'],[5,30,99,'16:16:48'],[10,9,244,'16:24:25'],[10,7,138,'16:29:01'],[11,4,194,'16:33:25'],[5,7,2738,'16:37:31'],[9,7,183,'17:23:46'],[5,15,0,'17:27:50'],"
10026,"[2,15,9,'08:35:10'],[3,13,182,'08:35:27'],[22,9,872,'08:42:37'],[25,7,2183,'09:06:16'],[28,15,206,'09:45:23'],[23,8,2269,'09:51:40'],[28,14,162,'10:32:37'],[23,15,274,'10:38:05'],[22,14,65,'10:43:27'],[5,31,113,'10:48:46'],[21,12,61,'10:57:15'],[23,9,4369,'10:59:20'],[28,14,300,'12:13:49'],[4,21,249,'12:25:10'],[15,15,0,'12:33:43'],"
10027,"[4,15,9,'08:32:10'],[4,13,237,'08:32:32'],[23,6,1101,'08:43:18'],[26,6,2527,'09:02:22'],[24,10,1962,'09:56:37'],[27,14,264,'10:30:35'],[23,15,445,'10:37:24'],[22,14,79,'10:45:13'],[22,13,100,'10:46:32'],[19,14,115,'10:49:04'],[17,11,139,'10:51:54'],[17,11,125,'10:54:59'],[17,12,62,'10:57:04'],[20,12,86,'10:59:34'],[21,12,111,'11:01:00'],[21,8,3675,'11:04:54'],[4,25,744,'12:10:35'],[15,15,0,'12:27:48'],"
10037,"[2,15,8,'09:01:40'],[4,13,216,'09:02:03'],[5,26,10355,'09:07:54'],[5,23,812,'12:01:17'],[4,26,9720,'12:17:39'],[10,8,424,'15:03:05'],[11,21,238,'15:13:11'],[15,15,0,'15:19:30'],"
10041,"[2,15,9,'08:53:50'],[5,13,376,'08:54:23'],[4,27,10636,'09:02:53'],[2,20,754,'12:02:05'],[11,21,251,'12:15:58'],[4,27,14041,'12:21:38'],[11,6,331,'16:20:18'],[10,7,110,'16:26:42'],[11,5,321,'16:30:08'],[20,14,153,'16:38:26'],[17,15,0,'16:41:21'],"
10045,"[2,15,9,'08:43:40'],[5,13,205,'08:44:14'],[24,5,364,'08:52:55'],[24,9,2114,'09:09:05'],[27,14,69,'09:46:30'],[22,5,2360,'09:52:09'],[11,21,200,'10:40:09'],[7,27,382,'10:44:27'],[23,10,4979,'10:56:00'],[15,15,0,'12:22:30'],"
10046,"[4,15,9,'08:36:50'],[3,13,380,'08:37:09'],[24,13,826,'08:46:33'],[3,27,10608,'09:03:51'],[2,22,6065,'12:03:14'],[4,22,693,'13:44:26'],[10,5,564,'13:59:25'],[4,27,7365,'14:12:44'],[10,9,66,'16:19:28'],[11,7,329,'16:21:20'],[10,7,110,'16:26:49'],[11,5,106,'16:30:13'],[5,15,0,'16:34:21'],"
10049,"[2,15,8,'09:43:50'],[5,13,298,'09:44:21'],[21,6,2068,'09:54:11'],[15,8,820,'10:36:59'],[17,11,103,'10:51:18'],[17,12,64,'10:53:01'],[22,5,4370,'10:57:49'],[3,18,221,'12:17:08'],[5,15,0,'12:25:01'],"
10051,"[2,15,12,'08:15:50'],[3,13,378,'08:16:11'],[7,3,356,'08:24:23'],[21,12,69,'08:36:46'],[22,10,1313,'08:38:56'],[21,6,2256,'09:02:33'],[11,20,106,'09:45:13'],[26,5,1811,'09:54:48'],[8,4,69,'10:33:10'],[7,11,362,'10:35:07'],[5,31,454,'10:42:55'],[24,9,2841,'10:58:28'],[28,14,102,'11:47:17'],[20,10,1152,'11:50:37'],[3,18,748,'12:14:41'],[17,15,0,'12:33:00'],"
10053,"[4,15,8,'09:41:30'],[3,13,444,'09:41:45'],[20,5,2066,'09:55:13'],[17,6,883,'10:35:46'],[17,11,135,'10:51:45'],[17,12,79,'10:54:00'],[23,6,4629,'11:00:20'],[17,15,0,'12:22:59'],"
10056,"[4,15,8,'08:38:20'],[2,13,403,'08:38:46'],[22,9,768,'08:48:51'],[20,10,2380,'09:02:39'],[28,15,191,'09:44:28'],[20,6,2071,'09:53:38'],[18,7,1012,'10:33:47'],[17,11,139,'10:51:53'],[17,12,80,'10:54:12'],[23,10,3838,'10:58:41'],[28,14,370,'12:03:29'],[2,23,172,'12:14:17'],[17,15,0,'12:21:12'],"
10058,"[2,15,11,'08:31:30'],[3,13,288,'08:31:51'],[23,6,1228,'08:43:11'],[25,7,2653,'09:04:26'],[20,9,2474,'09:51:25'],[10,20,307,'10:39:02'],[0,31,241,'10:46:28'],[20,12,102,'11:01:03'],[21,12,126,'11:02:45'],[20,5,4348,'11:09:21'],[21,10,69,'12:24:01'],[3,18,1362,'12:34:47'],[11,20,681,'12:58:28'],[2,30,2850,'13:12:29'],[2,7,5992,'14:05:27'],[11,4,392,'15:47:57'],[7,10,692,'15:56:27'],[6,6,150,'16:08:29'],[5,30,105,'16:13:54'],[10,9,450,'16:19:09'],[2,31,62,'16:30:07'],[4,7,2631,'16:37:48'],[28,15,129,'17:26:10'],[17,15,0,'17:29:55'],"
10062,"[0,13,8,'13:51:20'],[3,13,225,'13:51:44'],[8,7,213,'13:56:46'],[4,5,6193,'14:01:06'],[11,5,70,'15:45:39'],[0,31,1481,'15:51:08'],[5,30,117,'16:18:18'],[10,9,145,'16:26:19'],[5,3,2937,'16:31:42'],[9,4,165,'17:21:04'],[5,15,0,'17:25:40'],"
10070,"[4,15,9,'09:53:30'],[3,13,222,'09:53:47'],[19,14,101,'09:59:18'],[6,24,1400,'10:06:59'],[17,9,491,'10:34:08'],[17,4,386,'10:43:13'],[17,11,104,'10:51:18'],[17,12,65,'10:53:02'],[17,15,0,'10:57:33'],"
10077,"[0,13,9,'07:59:40'],[2,13,282,'07:59:57'],[10,4,137,'08:06:32'],[6,3,1238,'08:09:11'],[21,12,76,'08:37:19'],[26,9,1191,'08:40:18'],[26,8,2724,'09:00:45'],[25,10,2697,'09:47:12'],[28,14,569,'10:33:30'],[22,13,87,'10:45:54'],[20,12,74,'10:58:43'],[21,12,96,'10:59:57'],[21,6,4571,'11:04:18'],[21,10,62,'12:22:06'],[15,15,0,'12:31:58'],"
10078,"[0,13,9,'13:45:50'],[4,13,186,'13:46:23'],[9,9,271,'13:50:18'],[9,11,109,'13:55:00'],[6,2,122,'13:58:17'],[4,4,6499,'14:00:50'],[2,30,1217,'15:55:12'],[5,30,87,'16:16:17'],[10,9,110,'16:23:29'],[11,8,170,'16:25:19'],[10,7,145,'16:28:52'],[8,4,62,'16:32:47'],[3,5,2979,'16:34:30'],[17,15,0,'17:32:20'],"
10080,"[0,13,8,'13:59:30'],[5,13,222,'14:00:07'],[5,5,6596,'14:05:13'],[6,8,1202,'15:55:47'],[10,8,603,'16:17:36'],[10,9,153,'16:27:39'],[27,14,72,'16:34:47'],[2,5,2591,'16:40:08'],[15,15,0,'17:26:41'],"
10082,"[4,15,9,'08:23:10'],[5,13,219,'08:23:30'],[23,6,1368,'08:39:21'],[21,9,2477,'09:03:42'],[27,15,86,'09:47:13'],[23,7,2287,'09:51:32'],[21,14,398,'10:39:51'],[22,13,122,'10:47:23'],[27,15,71,'10:50:28'],[22,10,4841,'10:52:48'],[17,15,0,'12:20:18'],"
10083,"[4,15,9,'09:19:30'],[3,13,382,'09:19:47'],[26,9,848,'09:29:51'],[28,14,76,'09:46:13'],[25,5,2303,'09:51:06'],[16,2,480,'10:37:19'],[17,5,307,'10:45:52'],[17,11,170,'10:52:49'],[17,12,78,'10:55:39'],[20,12,68,'10:58:17'],[21,12,88,'10:59:25'],[26,10,4401,'11:02:08'],[5,18,736,'12:21:43'],[10,20,342,'12:34:27'],[1,29,4717,'12:42:32'],[4,9,5562,'14:05:37'],[9,11,266,'15:39:13'],[9,8,436,'15:44:03'],[10,4,171,'15:52:38'],[8,4,502,'15:55:47'],[11,4,133,'16:04:46'],[15,7,300,'16:10:59'],[10,9,83,'16:20:43'],[11,7,299,'16:22:50'],[10,9,157,'16:28:35'],[9,9,88,'16:31:12'],[2,30,1930,'16:38:19'],[17,15,0,'17:15:28'],"
10084,"[2,15,8,'08:22:20'],[3,13,323,'08:22:36'],[17,11,64,'08:31:24'],[25,9,1505,'08:36:24'],[20,8,2449,'09:03:20'],[10,20,225,'09:49:24'],[26,10,1799,'09:58:20'],[11,4,280,'10:32:19'],[23,15,269,'10:41:00'],[22,14,71,'10:45:29'],[22,13,107,'10:46:40'],[23,7,3811,'11:02:38'],[2,25,370,'12:11:49'],[5,15,0,'12:21:39'],"
10085,"[0,13,9,'08:48:30'],[2,13,192,'08:48:47'],[10,5,108,'08:53:41'],[20,14,69,'08:57:40'],[24,9,2447,'09:03:12'],[24,5,2130,'09:54:59'],[27,14,68,'10:35:31'],[18,9,596,'10:40:43'],[17,11,101,'10:51:17'],[17,12,64,'10:52:58'],[21,10,4879,'10:56:00'],[15,9,2025,'12:18:54'],[10,21,154,'12:55:35'],[5,29,2110,'12:59:49'],[17,4,131,'13:38:58'],[6,6,1213,'13:45:06'],[3,9,5363,'14:07:06'],[10,5,174,'15:39:05'],[9,10,161,'15:42:58'],[1,29,1925,'15:48:04'],[15,10,310,'16:25:19'],[3,8,2503,'16:33:36'],[11,5,86,'17:16:53'],[15,15,0,'17:20:24'],"
10087,"[2,15,9,'09:40:30'],[5,13,467,'09:41:02'],[11,5,219,'09:50:00'],[16,11,328,'09:55:41'],[7,3,1405,'10:06:44'],[15,9,254,'10:33:55'],[16,4,384,'10:38:45'],[17,4,390,'10:45:19'],[17,11,175,'10:53:18'],[17,12,78,'10:56:13'],[17,14,96,'11:01:53'],[15,15,0,'11:03:44'],"
10090,"[2,15,8,'09:01:20'],[2,13,203,'09:01:36'],[4,26,10343,'09:07:46'],[3,22,857,'12:01:32'],[11,4,322,'12:19:47'],[4,26,13624,'12:29:05'],[11,6,313,'16:21:26'],[10,9,154,'16:28:07'],[9,9,77,'16:30:41'],[10,20,323,'16:36:46'],[28,14,262,'16:45:57'],[15,15,0,'16:51:58'],"
10091,"[2,15,8,'13:51:10'],[2,13,283,'13:51:26'],[7,9,532,'13:57:17'],[8,11,527,'14:06:22'],[5,4,4043,'14:16:06'],[11,4,224,'15:24:05'],[3,3,2005,'15:28:54'],[6,3,358,'16:03:01'],[10,4,96,'16:09:43'],[5,29,3322,'16:15:07'],[5,15,0,'17:12:50'],"
10092,"[4,15,9,'14:03:20'],[5,13,142,'14:03:37'],[5,2,3322,'14:08:07'],[7,5,660,'15:03:59'],[4,3,3699,'15:16:40'],[7,2,304,'16:18:35'],[11,5,79,'16:24:10'],[8,11,129,'16:27:20'],[3,3,3199,'16:31:30'],[10,5,182,'17:26:17'],[15,15,0,'17:31:14'],"
10094,"[2,15,9,'08:15:10'],[2,13,312,'08:15:27'],[8,5,455,'08:22:24'],[21,12,76,'08:37:18'],[24,10,1356,'08:39:23'],[22,10,2562,'09:02:17'],[26,5,2412,'09:50:57'],[23,14,512,'10:36:57'],[22,14,72,'10:45:29'],[22,13,107,'10:46:41'],[17,11,175,'10:52:35'],[17,12,77,'10:55:30'],[20,12,65,'10:58:01'],[21,12,84,'10:59:06'],[26,8,4547,'11:02:12'],[17,15,0,'12:32:12'],"
10097,"[0,13,9,'09:58:10'],[5,13,406,'09:58:53'],[22,14,139,'10:08:00'],[16,10,1100,'10:11:49'],[18,10,248,'10:33:51'],[27,13,100,'10:40:16'],[28,14,161,'10:42:08'],[22,13,119,'10:47:16'],[17,11,113,'10:51:24'],[17,12,67,'10:53:17'],[17,15,0,'10:54:53'],"
10098,"[4,15,9,'13:36:10'],[4,13,433,'13:36:26'],[15,6,64,'13:46:25'],[16,6,740,'13:47:29'],[5,2,3405,'14:06:04'],[6,5,731,'15:03:18'],[5,2,3685,'15:15:54'],[27,14,98,'16:22:41'],[27,15,180,'16:24:19'],[4,3,3086,'16:32:33'],[5,15,0,'17:26:11'],"
10101,"[4,15,9,'08:49:20'],[4,13,371,'08:49:38'],[19,14,79,'08:57:50'],[23,6,2192,'09:06:07'],[28,14,210,'09:46:49'],[21,9,2171,'09:53:48'],[23,14,437,'10:36:32'],[22,14,78,'10:43:49'],[21,12,74,'10:58:23'],[23,10,4364,'11:00:55'],[5,20,94,'12:18:25'],[5,15,0,'12:23:43'],"
